COLLEGE_CODE,COLLEGE_NAME,DISTRICT,OC,BC,BCM,MBC,SC,SCA,ST,RECORD_ID,BRANCH_NAME,BRANCH_CODE
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,109,106.5,141.5,100.5,122,Not Available,Not Available,TNEA2025-00001,AGRICULTURAL ENGINEERING,ag
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,142.5,87,141.5,112.5,122,Not Available,Not Available,TNEA2025-00002,Artificial Intelligence and Data Science,ad
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,127,82,116,111,123.5,Not Available,Not Available,TNEA2025-00003,COMPUTER SCIENCE AND ENGINEERING,cs
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,130.5,88,116.5,112,99.5,Not Available,Not Available,TNEA2025-00004,ELECTRICAL AND ELECTRONICS ENGINEERING,ee
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,119,95,102.5,103,99.5,Not Available,Not Available,TNEA2025-00005,ELECTRONICS AND COMMUNICATION ENGINEERING,ec
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,122,90,116.5,104.5,99.5,Not Available,Not Available,TNEA2025-00006,INFORMATION TECHNOLOGY,it
2347,"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Salem,114.5,84,116.5,103,81.5,Not Available,Not Available,TNEA2025-00007,MECHANICAL ENGINEERING,me
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,128.5,104.5,124.5,88.5,116,Not Available,Not Available,TNEA2025-00008,Artificial Intelligence and Data Science,ad
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,88.5,104.5,124.5,88.5,116,Not Available,Not Available,TNEA2025-00009,CIVIL ENGINEERING,ce
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,120,85,107,99.5,96.5,Not Available,Not Available,TNEA2025-00010,COMPUTER SCIENCE AND ENGINEERING,cs
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,89.5,80.5,107,83.5,96.5,Not Available,Not Available,TNEA2025-00011,ELECTRICAL AND ELECTRONICS ENGINEERING,ee
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,117.5,109.5,107,90.5,96.5,Not Available,Not Available,TNEA2025-00012,ELECTRONICS AND COMMUNICATION ENGINEERING,ec
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,118,94,107,90,112,Not Available,Not Available,TNEA2025-00013,INFORMATION TECHNOLOGY,it
1441,"A.K.T.Memorial College of Engineering and Technology, Neelamangalam( Post ), Kallakurichi Taluk, Villupuram District-606202.",KALLAKURICHI,93.5,94,107,90,112,Not Available,Not Available,TNEA2025-00014,MECHANICAL ENGINEERING,me
4937,"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423.",Tirunelveli,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00015,CIVIL ENGINEERING,ce
4937,"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423.",Tirunelveli,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00016,COMPUTER SCIENCE AND ENGINEERING,cs
4937,"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423.",Tirunelveli,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00017,ELECTRICAL AND ELECTRONICS ENGINEERING,ee
4937,"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423.",Tirunelveli,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00018,ELECTRONICS AND COMMUNICATION ENGINEERING,ec
4937,"A.R College of Engineering and Technology, Kadayam - Alangulam Road, Near Railway Station, Kadayam, Therkkumadathur, Tirunelveli-627423.",Tirunelveli,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00019,MECHANICAL ENGINEERING,me
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,85.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00020,Artificial Intelligence and Data Science,ad
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,85.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00021,CIVIL ENGINEERING,ce
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,83.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00022,COMPUTER SCIENCE AND ENGINEERING,cs
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,91.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00023,ELECTRICAL AND ELECTRONICS ENGINEERING,ee
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,121,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00024,ELECTRONICS AND COMMUNICATION ENGINEERING,ec
1436,"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, Villupuram-605601.",VILUPPURAM fr,121,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,TNEA2025-00025,MECHANICAL ENGINEERING,me
3821,"A.R.J College of Engineering and Technology, Thirumakkottai Main Road, Edayarnatham Village, Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001.",TIRUVARUR,134.5,96.5,98,83.5,Not Available,Not Available,Not Available,TNEA2025-00026,AGRICULTURAL ENGINEERING,ag
